2013 Congressional Districts,Zip Code,Zip Code Name,Zip Code Type,Zip Code Area Name,Percent of Population,Single Location Zip Code
03,95624,Elk Grove,Non Unique,Elk Grove,0.0,
03,95625,Elmira,Po Box,Elmira,,*
03,95626,Elverta,Non Unique,Elverta,91.6,
03,95627,Esparto,Non Unique,Esparto,100.0,
03,95632,Galt,Non Unique,Galt,0.1,
03,95637,Guinda,Non Unique,Guinda,99.6,
03,95639,Hood,Po Box,Hood,100.0,
03,95641,Isleton,Non Unique,Isleton,100.0,
03,95645,Knights Landing,Non Unique,Knights Landing,100.0,
03,95648,Lincoln,Non Unique,Lincoln,0.0,
03,95652,Mcclellan,Non Unique,Mcclellan,0.0,
03,95653,Madison,Po Box,Madison,100.0,
03,95659,Nicolaus,Non Unique,Nicolaus,100.0,
03,95660,North Highlands,Non Unique,North Highlands,0.0,
03,95668,Pleasant Grove,Non Unique,Pleasant Grove,82.7,
03,95673,Rio Linda,Non Unique,Rio Linda,99.8,
03,95674,Rio Oso,Non Unique,Rio Oso,100.0,
03,95676,Robbins,Po Box,Robbins,100.0,
03,95679,Rumsey,Po Box,Rumsey,,
03,95680,Ryde,Po Box,Ryde,,*
03,95681,Sheridan,Non Unique,Sheridan,0.0,
03,95687,Vacaville,Non Unique,Vacaville,100.0,
03,95688,Vacaville,Non Unique,Vacaville,100.0,
03,95690,Walnut Grove,Non Unique,Walnut Grove,98.9,
03,95691,West Sacramento,Non Unique,West Sacramento,0.5,
03,95692,Wheatland,Non Unique,Wheatland,100.0,
03,95693,Wilton,Non Unique,Wilton,0.0,
03,95694,Winters,Non Unique,Winters,100.0,
03,95695,Woodland,Non Unique,Woodland,100.0,
03,95696,Vacaville,Po Box,Vacaville,,*
03,95697,Yolo,Po Box,Yolo,100.0,
03,95698,Zamora,Po Box,Zamora,100.0,
03,95747,Roseville,Non Unique,Roseville,0.1,
03,95757,Elk Grove,Non Unique,Elk Grove,7.5,
03,95758,Elk Grove,Non Unique,Elk Grove,0.0,
03,95776,Woodland,Non Unique,Woodland,100.0,
03,95823,Sacramento,Non Unique,Sacramento,0.0,
03,95831,Sacramento,Non Unique,Sacramento,0.0,
03,95832,Sacramento,Non Unique,Sacramento,1.6,
03,95834,Sacramento,Non Unique,Sacramento,0.0,
03,95835,Sacramento,Non Unique,Sacramento,0.0,
03,95836,Sacramento,Non Unique,Sacramento,85.7,
03,95837,Sacramento,Non Unique,Sacramento,28.3,
03,95843,Antelope,Non Unique,Antelope,14.3,
03,95901,Marysville,Non Unique,Marysville,98.3,
03,95903,Beale Afb,Non Unique,Beale Afb,100.0,
03,95910,Alleghany,Non Unique,Alleghany,0.0,
03,95912,Arbuckle,Non Unique,Arbuckle,100.0,
03,95913,Artois,Po Box,Artois,100.0,
03,95914,Bangor,Non Unique,Bangor,26.9,
03,95918,Browns Valley,Non Unique,Browns Valley,100.0,
03,95919,Brownsville,Non Unique,Brownsville,100.0,
03,95920,Butte City,Non Unique,Butte City,0.0,
03,95922,Camptonville,Non Unique,Camptonville,86.9,
03,95925,Challenge,Non Unique,Challenge,100.0,
03,95930,Clipper Mills,Non Unique,Clipper Mills,0.0,
03,95932,Colusa,Non Unique,Colusa,100.0,
03,95935,Dobbins,Non Unique,Dobbins,100.0,
03,95937,Dunnigan,Po Box,Dunnigan,100.0,
03,95939,Elk Creek,Non Unique,Elk Creek,100.0,
03,95941,Forbestown,Non Unique,Forbestown,20.0,
03,95946,Penn Valley,Non Unique,Penn Valley,0.0,
03,95948,Gridley,Non Unique,Gridley,0.0,
